id,name,latitude,longitude
336,Sullivan St & Washington Sq,40.730476,-73.99906
337,Old Slip & Front St,40.7038,-74.008385
339,Avenue D & E 12 St,40.725807,-73.97423
340,Madison St & Clinton St,40.712692,-73.98776
341,Stanton St & Mangin St,40.717823,-73.97629
342,Columbia St & Rivington St,40.7174,-73.98016
343,Clinton Ave & Flushing Ave,40.69794,-73.96987
344,Monroe St & Bedford Ave,40.685143,-73.95381
345,W 13 St & 6 Ave,40.736492,-73.99705
346,Bank St & Hudson St,40.73653,-74.007
347,Greenwich St & W Houston St,40.72874,-74.00859
348,W Broadway & Spring St,40.72491,-74.00155
349,Rivington St & Ridge St,40.718502,-73.9833
350,Clinton St & Grand St,40.715595,-73.98703
351,Front St & Maiden Ln,40.70531,-74.00613
352,W 56 St & 6 Ave,40.763405,-73.97723
353,S Portland Ave & Hanson Pl,40.685394,-73.97431
354,Emerson Pl & Myrtle Ave,40.69363,-73.962234
355,Bayard St & Baxter St,40.716022,-73.99974
356,Bialystoker Pl & Delancey St,40.716225,-73.98261
357,E 11 St & Broadway,40.732616,-73.99158
358,Christopher St & Greenwich St,40.732914,-74.00711
359,E 47 St & Park Ave,40.755104,-73.97498
360,William St & Pine St,40.70718,-74.00887
361,Allen St & Hester St,40.716,-73.992
362,Broadway & W 37 St,40.751728,-73.989
363,West Thames St,40.708347,-74.017136
364,Lafayette Ave & Classon Ave,40.689003,-73.960236
365,Fulton St & Grand Ave,40.68223,-73.96146
366,Clinton Ave & Myrtle Ave,40.69326,-73.968895
367,E 53 St & Lexington Ave,40.75828,-73.970695
368,Carmine St & 6 Ave,40.730385,-74.00215
369,Washington Pl & 6 Ave,40.732243,-74.00027
372,Franklin Ave & Myrtle Ave,40.694527,-73.95809
373,Willoughby Ave & Walworth St,40.693317,-73.95382
375,Mercer St & Bleecker St,40.726795,-73.99695
376,John St & William St,40.708622,-74.007225
377,6 Ave & Canal St,40.72244,-74.00566
379,W 31 St & 7 Ave,40.749157,-73.9916
380,W 4 St & 7 Ave S,40.734013,-74.00294
382,University Pl & E 14 St,40.73493,-73.992004
383,Greenwich Ave & Charles St,40.735237,-74.000275
384,Fulton St & Washington Ave,40.68305,-73.965965
385,E 55 St & 2 Ave,40.757973,-73.966034
386,Centre St & Worth St,40.714947,-74.00234
387,Centre St & Chambers St,40.712734,-74.00461
388,W 26 St & 10 Ave,40.749718,-74.00295
389,Broadway & Berry St,40.710445,-73.96525
390,Duffield St & Willoughby St,40.692215,-73.98428
391,Clark St & Henry St,40.6976,-73.99345
392,Jay St & Tech Pl,40.695065,-73.98717
393,E 5 St & Avenue C,40.722992,-73.97996
394,E 9 St & Avenue C,40.725212,-73.977684
395,Bond St & Schermerhorn St,40.68807,-73.98411
396,Lefferts Pl & Franklin Ave,40.680344,-73.95577
397,Fulton St & Clermont Ave,40.68416,-73.96922
398,Atlantic Ave & Furman St,40.69165,-73.99998
399,Lafayette Ave & St James Pl,40.688515,-73.96476
400,Pitt St & Stanton St,40.71926,-73.98178
401,Allen St & Rivington St,40.719,-73.989975
402,Broadway & E 22 St,40.740345,-73.98955
403,E 2 St & 2 Ave,40.72503,-73.9907
404,9 Ave & W 14 St,40.74058,-74.00551
405,Washington St & Gansevoort St,40.739323,-74.00812
406,Hicks St & Montague St,40.69513,-73.99595
407,Henry St & Poplar St,40.70047,-73.991455
408,Market St & Cherry St,40.710762,-73.994
409,DeKalb Ave & Skillman St,40.69065,-73.95643
410,Suffolk St & Stanton St,40.720665,-73.985176
411,E 6 St & Avenue D,40.722282,-73.976685
412,Forsyth St & Canal St,40.715816,-73.994225
414,Pearl St & Anchorage Pl,40.70282,-73.987656
415,Pearl St & Hanover Square,40.70472,-74.00926
416,Cumberland St & Lafayette Ave,40.687534,-73.97265
417,Barclay St & Church St,40.712914,-74.0102
418,Front St & Gold St,40.70224,-73.982574
419,Carlton Ave & Park Ave,40.69581,-73.97356
420,Clermont Ave & Lafayette Ave,40.687645,-73.96969
421,Clermont Ave & Park Ave,40.695732,-73.9713
422,W 59 St & 10 Ave,40.77,-73.989
423,W 54 St & 9 Ave,40.76585,-73.98691
426,West St & Chambers St,40.71755,-74.01322
427,Bus Slip & State St,40.70191,-74.01427
428,E 3 St & 1 Ave,40.724678,-73.98783
430,York St & Jay St,40.701485,-73.98657
431,Hanover Pl & Livingston St,40.68865,-73.982635
432,E 7 St & Avenue A,40.72622,-73.983795
433,E 13 St & Avenue A,40.729553,-73.980576
434,9 Ave & W 18 St,40.743,-74.004
435,W 21 St & 6 Ave,40.74174,-73.994156
436,Hancock St & Bedford Ave,40.682167,-73.95399
437,Macon St & Nostrand Ave,40.680984,-73.95005
438,St Marks Pl & 1 Ave,40.72779,-73.98565
439,E 4 St & 2 Ave,40.72628,-73.98978
440,E 45 St & 3 Ave,40.752556,-73.972824
441,E 52 St & 2 Ave,40.756016,-73.967415
442,W 27 St & 7 Ave,40.746647,-73.99391
443,Bedford Ave & S 9 St,40.70853,-73.96409
444,Broadway & W 24 St,40.742355,-73.98915
445,E 10 St & Avenue A,40.72741,-73.98142
446,W 24 St & 7 Ave,40.744877,-73.9953
447,8 Ave & W 52 St,40.763706,-73.98516
448,W 37 St & 10 Ave,40.756603,-73.998
449,W 52 St & 9 Ave,40.764618,-73.98789
450,W 49 St & 8 Ave,40.761,-73.989
453,W 22 St & 8 Ave,40.74475,-73.99915
454,E 51 St & 1 Ave,40.75456,-73.96593
455,1 Ave & E 44 St,40.75002,-73.969055
456,E 53 St & Madison Ave,40.759712,-73.97402
457,Broadway & W 58 St,40.766953,-73.9817
458,11 Ave & W 27 St,40.751396,-74.005226
459,W 20 St & 11 Ave,40.746746,-74.00776
460,S 4 St & Wythe Ave,40.71286,-73.965904
461,E 20 St & 2 Ave,40.735878,-73.98205
462,W 22 St & 10 Ave,40.746918,-74.00452
463,9 Ave & W 16 St,40.742065,-74.00443
464,E 56 St & 3 Ave,40.759346,-73.9676
465,Broadway & W 41 St,40.755135,-73.98658
466,W 25 St & 6 Ave,40.743954,-73.99145
467,Dean St & 4 Ave,40.683125,-73.97895
468,Broadway & W 55 St,40.764,-73.983
469,Broadway & W 53 St,40.76344,-73.98268
470,W 20 St & 8 Ave,40.743454,-74.00004
471,Grand St & Havemeyer St,40.712868,-73.95698
472,E 32 St & Park Ave,40.745712,-73.98195
473,Rivington St & Chrystie St,40.7211,-73.99193
474,5 Ave & E 29 St,40.745167,-73.98683
475,E 15 St & Irving Pl,40.73524,-73.98759
476,E 31 St & 3 Ave,40.743942,-73.97966
477,W 41 St & 8 Ave,40.755,-73.99003
478,11 Ave & W 41 St,40.7603,-73.99884
479,9 Ave & W 45 St,40.760193,-73.99126
480,W 53 St & 10 Ave,40.766697,-73.990616
481,S 3 St & Bedford Ave,40.712605,-73.96265
482,W 15 St & 7 Ave,40.739357,-73.99932
483,E 12 St & 3 Ave,40.73223,-73.9889
484,W 44 St & 5 Ave,40.755,-73.98014
485,W 37 St & 5 Ave,40.749,-73.98339
486,Broadway & W 29 St,40.7462,-73.988556
487,E 20 St & FDR Drive,40.733143,-73.977
488,W 39 St & 9 Ave,40.75646,-73.99372
489,10 Ave & W 28 St,40.750664,-74.00177
490,8 Ave & W 33 St,40.751553,-73.995
491,E 24 St & Park Ave S,40.74,-73.98602
492,W 33 St & 7 Ave,40.7502,-73.99093
493,W 45 St & 6 Ave,40.7568,-73.98291
494,W 26 St & 8 Ave,40.74735,-73.99724
495,W 47 St & 10 Ave,40.7627,-73.99301
496,E 16 St & 5 Ave,40.737263,-73.992386
497,E 17 St & Broadway,40.737,-73.99009
498,Broadway & W 32 St,40.74855,-73.98808
499,Broadway & W 60 St,40.769154,-73.98192
500,Broadway & W 51 St,40.762287,-73.98336
501,FDR Drive & E 35 St,40.74422,-73.971214
502,Henry St & Grand St,40.71421,-73.981346
503,E 20 St & Park Ave,40.738274,-73.98752
504,1 Ave & E 15 St,40.731,-73.983
505,6 Ave & W 33 St,40.749,-73.989
507,E 25 St & 2 Ave,40.739124,-73.97974
508,W 46 St & 11 Ave,40.763412,-73.998
509,9 Ave & W 22 St,40.7455,-74.00197
510,W 51 St & 6 Ave,40.76066,-73.98042
511,E 14 St & Avenue B,40.729385,-73.97772
512,W 29 St & 9 Ave,40.750072,-73.99839
513,W 56 St & 10 Ave,40.767,-73.989
514,12 Ave & W 40 St,40.760876,-74.00278
